contract_id,contract_title,full_contract_text,chapter_number,chapter_title,section_reference,category_derived_non_canonical,canonical_version,status
GP-81,Kontrollerad anpassning,Analys får endast förändra ett aktivt program genom GainPilots anpassningsmotor och användarens tillämpliga mandat.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-82,Versionshanterade program,Aktiva träningsprogram och betydelsefulla förändringar ska vara versionerade och återställningsbara.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-83,Professionell gräns vid smärta och skada,GainPilot får inte diagnostisera eller programmera runt högrisksymptom utan lämplig begränsning och hänvisning.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-84,Samlad belastningsbedömning,"Styrka, kondition, CrossFit, calisthenics och annan relevant aktivitet ska konsekvensbedömas tillsammans.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-85,Granskad kunskapsuppdatering,Ny extern information får inte direkt ändra canonical träningsregler eller användarprogram.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-86,Extern programmering ska respekteras,GainPilot får inte skriva över ett externt eller mänskligt coachat program utanför användarens uttryckliga mandat.,7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-87,Beslut ska vara observerbara,"Betydelsefulla träningsbeslut ska kunna spåras till data, regel, mandat och resultat.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-88,Branchbaserad träningsutveckling,"Förändringar av träningsmotor, regler, övningsgraf och säkerhetslogik ska ske på separat branch med tester, pull request, granskning och kontrollerad merge.",7,Träningsintelligens,7.64 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-89,Kost som sammanhängande system,"GainPilot ska behandla energi, näring, måltider, preferenser, vardag och uppföljning som delar av samma kostmodell.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-90,Kostmålet kopplas till helheten,Kostplanen ska stödja användarens övergripande mål och konsekvensbedömas tillsammans med träning och aktivitet.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-91,Energi är en kalibrerbar uppskattning,Initialt energibehov ska presenteras som en uppskattning och kalibreras mot verkliga resultat.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-92,Trend före enskild vägning,Betydelsefulla kostanpassningar ska normalt baseras på relevant trenddata och flera signaler.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-93,Praktisk måltidsstruktur,"Kostplanen ska anpassas efter tid, budget, preferenser, hushåll och vardag.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-94,Canonical livsmedelsidentitet,"Livsmedel och produkter ska ha canonical identiteter, datakälla och kvalitetsstatus.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-95,Canonical receptmodell,"Recept ska vara strukturerade, skalbara, versionshanterade och kopplade till validerad livsmedelsdata.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-96,Meningsfull måltidssubstitution,"Måltids- och ingrediensbyten ska ta hänsyn till energi, protein, begränsningar, funktion och resten av dagens plan.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-97,Allergier har företräde,Allergier och säkerhetskritiska kostbegränsningar ska tillämpas före preferenser och optimering.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-98,Flera precisionsnivåer,GainPilot ska kunna stödja både förenklad portionsbaserad planering och detaljerad vägning.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-99,Flexibilitet utan kompensationslogik,"Normala avvikelser ska hanteras utan aggressiv kompensation, skuld eller straffbeteende.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-100,Kontrollerad kostanpassning,Aktiva kostplaner får endast förändras genom kostanpassningsmotorn och användarens tillämpliga mandat.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-101,Versionshanterad kostplan,Betydelsefulla kostförändringar ska vara spårbara och återställningsbara.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-102,Professionella gränser,"GainPilot får inte diagnostisera, ersätta medicinsk nutritionsterapi eller ge högriskråd utanför sitt mandat.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-103,Skydd mot osunda mönster,GainPilot ska kunna begränsa funktioner och rekommendationer som riskerar att förstärka extrem restriktion eller kompensationsbeteende.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,safety,v1.0,Canonical Review Candidate
GP-104,Granskad extern kunskap,"Ny forskning, livsmedelsdata och externa recept får inte direkt bli canonical utan granskning.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-105,"Atlas bakom, Arnold framför","Atlas ska bidra med research, analys och relevant kontext, medan Arnold normalt kommunicerar kostbesluten.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-106,Hermes minimerar kostkontext,Delad Omnira-kontext ska begränsas till det kostplaneringen faktiskt kräver.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-107,Domänöverskridande konsekvensanalys,Tränings- och kostmotorerna ska kunna bedöma hur förändringar i den ena domänen påverkar den andra.,8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-108,Branchbaserad kostutveckling,"Förändringar av kostmotor, livsmedelsdata, allergenregler och säkerhetslogik ska ske på separat branch med tester, pull request, granskning och kontrollerad merge.",8,Kostintelligens,8.82 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-109,Målspecifik progression,"Progression ska definieras i relation till användarens aktiva mål, träningsdomän och programfas.",9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-110,"Process, prestation och resultat","GainPilot ska skilja mellan processprogression, prestationsprogression och resultatprogression.",9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-111,Jämförbarhet före slutsats,"Prestationsdata får endast jämföras när teknik, variant, standard och övrig kontext är tillräckligt jämförbara.",9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-112,Baslinje före avancerad personalisering,GainPilot ska etablera en tillräcklig baslinje innan säkra individuella responsmönster antas.,9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,memory,v1.0,Canonical Review Candidate
GP-113,Trend före datapunkt,Större anpassningar ska normalt baseras på relevanta trender eller tydliga högrisksignaler.,9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,training,v1.0,Canonical Review Candidate
GP-114,Underhåll är giltig framgång,Bibehållen kapacitet ska kunna klassificeras som framgång när den stödjer det aktiva målet.,9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
GP-115,Flera återhämtningssignaler,Återhämtningsbedömning ska använda flera relevanta signaler och får inte styras av en enskild poäng utan tillräcklig kontext.,9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,data,v1.0,Canonical Review Candidate
GP-116,Signalkvalitet och provenance,"Återhämtningsdata ska ha känd källa, kvalitet, tidpunkt och osäkerhet.",9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,safety,v1.0,Canonical Review Candidate
GP-117,"Rätt orsak, rätt åtgärd","GainPilot ska skilja mellan fysiologisk trötthet, praktisk tidsbrist, låg följsamhet och säkerhetssignal.",9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,security,v1.0,Canonical Review Candidate
GP-118,Samlad belastningsanalys,"Relevant belastning från styrka, kondition, CrossFit, calisthenics, kost och vardag ska konsekvensbedömas tillsammans.",9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,nutrition,v1.0,Canonical Review Candidate
GP-119,Minsta effektiva förändring,GainPilot ska normalt välja den minsta förändring som rimligen kan lösa det identifierade problemet.,9,"Progression, återhämtning och anpassning",9.99 ARKITEKTURKONTRAKT,product,v1.0,Canonical Review Candidate
