contract_id,contract_title,full_contract_text,chapter_number,chapter_title,section_reference,normative_term,category_derived_non_canonical,canonical_version,status
MI-01-017,Mobile Intelligence som distribuerad domän,En annan nod FÅR INTE upprepa en extern handling enbart för att den saknar bekräftelse på föregående försök.,1,Mobile Intelligence som systemdomän i Omnira,1.8 Mobile Intelligence som distribuerad domän,FÅR INTE,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-018,Domänens systemgräns,Mobile Intelligence SKA definiera mobilrelaterade kontrakt utan att absorbera varje projekts interna affärslogik.,1,Mobile Intelligence som systemdomän i Omnira,1.9 Domänens systemgräns,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-019,Domänens systemgräns,"Ett projekt SKA använda Mobile Intelligence genom definierade capabilities och scopes, inte genom direkt obegränsad tillgång till enheten.",1,Mobile Intelligence som systemdomän i Omnira,1.9 Domänens systemgräns,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-020,Capability som domänens minsta styrbara förmåga,Mobilfunktionalitet SKA exponeras som begränsade och namngivna capabilities.,1,Mobile Intelligence som systemdomän i Omnira,1.10 Capability som domänens minsta styrbara förmåga,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-021,Capability som domänens minsta styrbara förmåga,"Capabilities SKA kunna bedömas individuellt avseende authority, risk, scope och verifieringskrav.",1,Mobile Intelligence som systemdomän i Omnira,1.10 Capability som domänens minsta styrbara förmåga,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-022,Capability som domänens minsta styrbara förmåga,En capability FÅR INTE automatiskt ärva andra capabilities enbart för att de används i samma app.,1,Mobile Intelligence som systemdomän i Omnira,1.10 Capability som domänens minsta styrbara förmåga,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-023,Scope som begränsning av capability,Varje exekverad mobilcapability SKA ha ett giltigt scope.,1,Mobile Intelligence som systemdomän i Omnira,1.11 Scope som begränsning av capability,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-024,Scope som begränsning av capability,Avsaknad av giltigt scope SKA behandlas som nekad åtkomst.,1,Mobile Intelligence som systemdomän i Omnira,1.11 Scope som begränsning av capability,SKA,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-025,Scope som begränsning av capability,Ett scope SKA kunna återkallas utan att den underliggande capability-definitionen raderas.,1,Mobile Intelligence som systemdomän i Omnira,1.11 Scope som begränsning av capability,SKA,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-026,"Authority, approval och mandat",Teknisk möjlighet FÅR INTE betraktas som authority.,1,Mobile Intelligence som systemdomän i Omnira,"1.12 Authority, approval och mandat",FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-027,"Authority, approval och mandat",Authority FÅR INTE betraktas som ett aktivt mandat utan att dess scope och villkor är uppfyllda.,1,Mobile Intelligence som systemdomän i Omnira,"1.12 Authority, approval och mandat",FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-028,"Authority, approval och mandat","Ett aktivt mandat FÅR INTE användas efter att det löpt ut, återkallats eller brutits.",1,Mobile Intelligence som systemdomän i Omnira,"1.12 Authority, approval och mandat",FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-029,Human authority before autonomy,Autonomi SKA förtjänas separat per capability eller workflow.,1,Mobile Intelligence som systemdomän i Omnira,1.13 Human authority before autonomy,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-030,Human authority before autonomy,Atlas FÅR rekommendera högre autonomi men FÅR INTE bevilja sig själv högre authority.,1,Mobile Intelligence som systemdomän i Omnira,1.13 Human authority before autonomy,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-031,Human authority before autonomy,Ett autonomt workflow SKA kunna stoppas eller nedgraderas automatiskt när dess säkerhets- eller kvalitetsvillkor inte längre uppfylls.,1,Mobile Intelligence som systemdomän i Omnira,1.13 Human authority before autonomy,SKA,security,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-032,Privacy utan övervakningskänsla,Mobile Intelligence SKA använda dataminimering som en primär arkitekturprincip.,1,Mobile Intelligence som systemdomän i Omnira,1.14 Privacy utan övervakningskänsla,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-033,Privacy utan övervakningskänsla,Data FÅR INTE samlas in enbart för att den tekniskt är tillgänglig.,1,Mobile Intelligence som systemdomän i Omnira,1.14 Privacy utan övervakningskänsla,FÅR INTE,data,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-034,Privacy utan övervakningskänsla,Dold eller kontinuerlig övervakning FÅR INTE införas som standardbeteende.,1,Mobile Intelligence som systemdomän i Omnira,1.14 Privacy utan övervakningskänsla,FÅR INTE,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-035,Projektisolering som kärninvariant,"Projektisolering SKA upprätthållas inom appar, konton, kanaler, mappar och datatyper.",1,Mobile Intelligence som systemdomän i Omnira,1.15 Projektisolering som kärninvariant,SKA,communication,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-036,Projektisolering som kärninvariant,Att två projekt använder samma app FÅR INTE skapa implicit datadelning.,1,Mobile Intelligence som systemdomän i Omnira,1.15 Projektisolering som kärninvariant,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-037,Projektisolering som kärninvariant,Atlas globala vy FÅR INTE användas som skäl för att en projektagent får global åtkomst.,1,Mobile Intelligence som systemdomän i Omnira,1.15 Projektisolering som kärninvariant,FÅR INTE,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-038,Credential isolation,Credentials SKA behandlas som en separat säkerhetsdomän med strikt isolation.,1,Mobile Intelligence som systemdomän i Omnira,1.16 Credential isolation,SKA,security,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-039,Credential isolation,En agent FÅR INTE få klartextåtkomst till credentials om uppgiften kan utföras genom en säkrare referens eller session.,1,Mobile Intelligence som systemdomän i Omnira,1.16 Credential isolation,FÅR INTE,security,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-040,Credential isolation,En betrodd mobilnod FÅR INTE automatiskt få tillgång till alla projektcredentials.,1,Mobile Intelligence som systemdomän i Omnira,1.16 Credential isolation,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-041,Verifiering före påstådd framgång,Atlas FÅR INTE rapportera en mobilhandling som lyckad utan tillräckligt verifieringsbevis.,1,Mobile Intelligence som systemdomän i Omnira,1.17 Verifiering före påstådd framgång,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-042,Verifiering före påstådd framgång,När resultatet inte kan verifieras SKA statusen uttryckligen ange osäkerhet.,1,Mobile Intelligence som systemdomän i Omnira,1.17 Verifiering före påstådd framgång,SKA,verification,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-043,Verifiering före påstådd framgång,Ett efterföljande steg SKA stoppas när det är beroende av ett resultat som inte kunnat verifieras.,1,Mobile Intelligence som systemdomän i Omnira,1.17 Verifiering före påstådd framgång,SKA,verification,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-044,Safe failure och unknown outcome,Unknown outcome SKA behandlas som ett eget canonical tillstånd.,1,Mobile Intelligence som systemdomän i Omnira,1.18 Safe failure och unknown outcome,SKA,verification,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-045,Safe failure och unknown outcome,En handling med unknown outcome FÅR INTE upprepas innan systemet försökt fastställa verkligt resultat.,1,Mobile Intelligence som systemdomän i Omnira,1.18 Safe failure och unknown outcome,FÅR INTE,verification,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-046,Safe failure och unknown outcome,Safe failure SKA prioriteras över fortsatt exekvering när nästa steg kan öka skadan.,1,Mobile Intelligence som systemdomän i Omnira,1.18 Safe failure och unknown outcome,SKA,failure,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-047,Audit utan onödigt brus,Varje exekverad mobilhandling SKA lämna minst en spårbar hälsoaudit.,1,Mobile Intelligence som systemdomän i Omnira,1.19 Audit utan onödigt brus,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-048,Audit utan onödigt brus,"Full audit BÖR reserveras för känsliga, ekonomiska, ovanliga, irreversibla eller felande handlingar.",1,Mobile Intelligence som systemdomän i Omnira,1.19 Audit utan onödigt brus,BÖR,privacy,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-049,Audit utan onödigt brus,Audit FÅR INTE duplicera mer känsligt innehåll än vad spårbarhetsbehovet kräver.,1,Mobile Intelligence som systemdomän i Omnira,1.19 Audit utan onödigt brus,FÅR INTE,privacy,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-050,Canonical state och lokalt enhetstillstånd,Canonical state SKA definieras per state-domän.,1,Mobile Intelligence som systemdomän i Omnira,1.20 Canonical state och lokalt enhetstillstånd,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-051,Canonical state och lokalt enhetstillstånd,"Lokalt device state SKA rapporteras av den berörda enheten, men FÅR INTE ensamt omdefiniera centrala mandat eller workflowstate.",1,Mobile Intelligence som systemdomän i Omnira,1.20 Canonical state och lokalt enhetstillstånd,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-052,Canonical state och lokalt enhetstillstånd,Vid olöst statekonflikt SKA beroende riskfyllda handlingar pausas.,1,Mobile Intelligence som systemdomän i Omnira,1.20 Canonical state och lokalt enhetstillstånd,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-053,Domänens relation till lokal och molnbaserad intelligens,"Val av lokal eller extern bearbetning SKA baseras på policy, datakänslighet, kvalitet, kostnad och uppgiftens krav.",1,Mobile Intelligence som systemdomän i Omnira,1.21 Domänens relation till lokal och molnbaserad intelligens,SKA,privacy,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-054,Domänens relation till lokal och molnbaserad intelligens,Molnbearbetning FÅR INTE användas för att kringgå ett lokalt dataskyddskrav.,1,Mobile Intelligence som systemdomän i Omnira,1.21 Domänens relation till lokal och molnbaserad intelligens,FÅR INTE,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-055,Domänens relation till lokal och molnbaserad intelligens,Data som lämnar enheten SKA begränsas till det aktuella stegets behov.,1,Mobile Intelligence som systemdomän i Omnira,1.21 Domänens relation till lokal och molnbaserad intelligens,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-056,Domänens relation till framtida företag,Arkitekturen SKA stödja framtida organisationsroller utan att kräva full enterprise-implementation i första versionen.,1,Mobile Intelligence som systemdomän i Omnira,1.22 Domänens relation till framtida företag,SKA,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-057,Domänens relation till framtida företag,Privata användarpreferenser FÅR INTE automatiskt bli organisationens standardpolicy.,1,Mobile Intelligence som systemdomän i Omnira,1.22 Domänens relation till framtida företag,FÅR INTE,privacy,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-058,Domänens relation till framtida företag,Företagsdata och personlig Atlas-data SKA kunna separeras vid offboarding.,1,Mobile Intelligence som systemdomän i Omnira,1.22 Domänens relation till framtida företag,SKA,data,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-059,Governance måste föregå implementation,Implementation SKA härledas från godkänd governance och FÅR INTE i efterhand göras till canonical enbart för att den redan existerar.,1,Mobile Intelligence som systemdomän i Omnira,1.23 Governance måste föregå implementation,FÅR INTE,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-060,Governance måste föregå implementation,"En befintlig implementation som strider mot canonical krav SKA klassificeras som en avvikelse, inte som ett automatiskt undantag.",1,Mobile Intelligence som systemdomän i Omnira,1.23 Governance måste föregå implementation,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-061,Governance måste föregå implementation,Ny mobilcapability FÅR INTE aktiveras utan relevant risk- och governancebedömning.,1,Mobile Intelligence som systemdomän i Omnira,1.23 Governance måste föregå implementation,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-062,Bokens roll som canonical styrkälla,"Boken SKA användas som krav- och granskningskälla, inte som ett fristående exekveringsmandat.",1,Mobile Intelligence som systemdomän i Omnira,1.24 Bokens roll som canonical styrkälla,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-063,Bokens roll som canonical styrkälla,En utvecklingsagent SKA kunna hänvisa till exakta MI-kontrakt när den föreslår eller granskar implementation.,1,Mobile Intelligence som systemdomän i Omnira,1.24 Bokens roll som canonical styrkälla,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-064,Bokens roll som canonical styrkälla,Avvikelse från ett canonical kontrakt SKA redovisas uttryckligt och FÅR INTE döljas som en mindre teknisk detalj.,1,Mobile Intelligence som systemdomän i Omnira,1.24 Bokens roll som canonical styrkälla,FÅR INTE,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-065,Ändringskontroll,Canonical kontrakt SKA versionsstyras.,1,Mobile Intelligence som systemdomän i Omnira,1.25 Ändringskontroll,SKA,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-066,Ändringskontroll,En ny teknisk möjlighet FÅR INTE automatiskt ändra befintliga governancegränser.,1,Mobile Intelligence som systemdomän i Omnira,1.25 Ändringskontroll,FÅR INTE,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-067,Ändringskontroll,Gamla mandat FÅR INTE automatiskt utökas när capabilityn eller implementationen får bredare åtkomst.,1,Mobile Intelligence som systemdomän i Omnira,1.25 Ändringskontroll,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-068,Framtida expansion,"Framtida capability expansion SKA behandlas som en governanceförändring när den förändrar risk, dataåtkomst eller extern påverkan.",1,Mobile Intelligence som systemdomän i Omnira,1.29 Framtida expansion,SKA,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-01-069,Framtida expansion,En ny capabilityfamilj SKA vara default deny tills den har godkänts.,1,Mobile Intelligence som systemdomän i Omnira,1.29 Framtida expansion,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-001,Inledning,Mobile Intelligence SKA utvecklas från verkliga användarbehov och FÅR INTE expandera enbart för att en teknisk funktion är möjlig.,2,"Vision, produktomfattning och utvecklingsväg",2.1 Inledning,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-002,Inledning,"Produktens utveckling SKA balansera praktisk användbarhet, säkerhet, integritet och mänsklig kontroll.",2,"Vision, produktomfattning och utvecklingsväg",2.1 Inledning,SKA,security,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-003,Inledning,En långsiktig vision FÅR INTE tolkas som att samtliga capabilities är godkända för omedelbar implementation eller aktivering.,2,"Vision, produktomfattning och utvecklingsväg",2.1 Inledning,FÅR INTE,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-004,Den övergripande visionen,Mobile Intelligence SKA ge användaren kontinuerlig tillgång till Atlas oberoende av vilken exekveringsnod som utför arbetet.,2,"Vision, produktomfattning och utvecklingsväg",2.2 Den övergripande visionen,SKA,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-005,Den övergripande visionen,"Mobilen SKA kunna fungera som kontroll-, approval- och notifieringsyta utan att vara primär worker för varje uppgift.",2,"Vision, produktomfattning och utvecklingsväg",2.2 Den övergripande visionen,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-006,Den övergripande visionen,"Atlas SKA kunna fortsätta godkända workflows när användaren byter kontrollenhet, förutsatt att mandat, anslutning och exekveringskrav fortfarande är uppfyllda.",2,"Vision, produktomfattning och utvecklingsväg",2.2 Den övergripande visionen,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-007,André först,Den första versionen SKA optimeras för en primär kontoägare och dennes projekt.,2,"Vision, produktomfattning och utvecklingsväg",2.3 André först,SKA,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-008,André först,"André-first-principen FÅR INTE användas som motivering för att utelämna grundläggande projektisolering, credential isolation, authority eller audit.",2,"Vision, produktomfattning och utvecklingsväg",2.3 André först,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-009,André först,"Enterprise-funktioner KAN skjutas upp, men arkitekturen SKA undvika hårdkodade antaganden som gör framtida multi-user- eller multi-tenant-stöd orimligt svårt.",2,"Vision, produktomfattning och utvecklingsväg",2.3 André först,SKA,governance,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-010,Produkt före plattformsexpansion,Extern kommersialisering BÖR föregås av verifierad intern användning i verkliga projekt.,2,"Vision, produktomfattning och utvecklingsväg",2.4 Produkt före plattformsexpansion,BÖR,verification,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-011,Produkt före plattformsexpansion,"Första versionen FÅR INTE belastas med fullständig enterprise-funktionalitet som saknar aktuell användning, såvida funktionen inte krävs för en grundläggande säkerhets- eller isoleringsinvariant.",2,"Vision, produktomfattning och utvecklingsväg",2.4 Produkt före plattformsexpansion,FÅR INTE,security,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-012,Produkt före plattformsexpansion,"Framtida produktberedskap SKA uppnås genom stabila kontrakt och separerbara domäner, inte genom att alla framtida funktioner implementeras omedelbart.",2,"Vision, produktomfattning och utvecklingsväg",2.4 Produkt före plattformsexpansion,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-013,Den första kärnomfattningen,"Första kärnomfattningen SKA prioritera kommunikation med Atlas, approvals, projektworkflows, filer, device control, kalender, device health, recovery, multi-device och verifiering.",2,"Vision, produktomfattning och utvecklingsväg",2.5 Den första kärnomfattningen,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-014,Den första kärnomfattningen,"En första version FÅR INTE marknadsföras eller behandlas som fullt autonom om centrala verifierings-, rollback- och authorityfunktioner saknas.",2,"Vision, produktomfattning och utvecklingsväg",2.5 Den första kärnomfattningen,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-015,Arkitektoniskt definierat men senarelagt,En senarelagd capability SKA vara avstängd som standard.,2,"Vision, produktomfattning och utvecklingsväg",2.6 Arkitektoniskt definierat men senarelagt,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-016,Arkitektoniskt definierat men senarelagt,En senarelagd capability FÅR INTE ärva authority eller mandat från en närliggande befintlig capability.,2,"Vision, produktomfattning och utvecklingsväg",2.6 Arkitektoniskt definierat men senarelagt,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-017,Arkitektoniskt definierat men senarelagt,"Aktivering av en ny capabilityfamilj SKA kräva separat risk-, säkerhets- och governancegranskning.",2,"Vision, produktomfattning och utvecklingsväg",2.6 Arkitektoniskt definierat men senarelagt,SKA,security,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-018,Capability availability är inte authority,"Capability availability FÅR INTE likställas med permission, authority eller mandat.",2,"Vision, produktomfattning och utvecklingsväg",2.7 Capability availability är inte authority,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-019,Capability availability är inte authority,En installerad integration FÅR INTE automatiskt aktivera tillhörande mobilbehörigheter.,2,"Vision, produktomfattning och utvecklingsväg",2.7 Capability availability är inte authority,FÅR INTE,device,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-020,Capability availability är inte authority,Varje capability SKA ha ett explicit aktiverings- och authoritytillstånd.,2,"Vision, produktomfattning och utvecklingsväg",2.7 Capability availability är inte authority,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-021,Utvecklingsvägens sex steg,Observation SKA vara default startläge för en ny högriskcapability.,2,"Vision, produktomfattning och utvecklingsväg",2.8 Utvecklingsvägens sex steg,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-022,Utvecklingsvägens sex steg,Rekommendation SKA hållas åtskild från exekvering.,2,"Vision, produktomfattning och utvecklingsväg",2.8 Utvecklingsvägens sex steg,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-023,Utvecklingsvägens sex steg,"Nya externa, känsliga eller bindande actions SKA initialt använda human approval om inte starkare canonical skäl säger annat.",2,"Vision, produktomfattning och utvecklingsväg",2.8 Utvecklingsvägens sex steg,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-024,Utvecklingsvägens sex steg,Lågriskautomation SKA begränsas till uttryckligen definierade handlingar och stop conditions.,2,"Vision, produktomfattning och utvecklingsväg",2.8 Utvecklingsvägens sex steg,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-025,Utvecklingsvägens sex steg,"Authority-baserad autonomi FÅR INTE innebära obegränsad strategisk, ekonomisk eller irreversibel beslutskraft.",2,"Vision, produktomfattning och utvecklingsväg",2.8 Utvecklingsvägens sex steg,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-026,Utvecklingsvägens sex steg,"Capability expansion SKA behandlas som en styrd arkitekturförändring, inte som en vanlig mindre funktionsuppdatering.",2,"Vision, produktomfattning och utvecklingsväg",2.8 Utvecklingsvägens sex steg,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-027,Earned autonomy,Kriterier för earned autonomy SKA anpassas efter capabilityns risk och konsekvens.,2,"Vision, produktomfattning och utvecklingsväg",2.9 Earned autonomy,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-028,Earned autonomy,"Historisk framgång FÅR INTE ensam berättiga autonomi om miljön, appen, providern eller workflowets beteende har förändrats väsentligt.",2,"Vision, produktomfattning och utvecklingsväg",2.9 Earned autonomy,FÅR INTE,provider,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-029,Earned autonomy,Atlas FÅR rekommendera ett utökat mandat när beviskraven uppfyllts.,2,"Vision, produktomfattning och utvecklingsväg",2.9 Earned autonomy,FÅR,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-030,Earned autonomy,Det slutliga beslutet om authorityhöjning SKA fattas av användaren eller behörig governancefunktion.,2,"Vision, produktomfattning och utvecklingsväg",2.9 Earned autonomy,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-031,Autonomi är reversibel,Varje autonomt workflow SKA ha definierade stop- och downgradevillkor.,2,"Vision, produktomfattning och utvecklingsväg",2.10 Autonomi är reversibel,SKA,general,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-032,Autonomi är reversibel,Atlas SKA kunna stoppa eller nedgradera automation när dess säkerhetsvillkor bryts.,2,"Vision, produktomfattning och utvecklingsväg",2.10 Autonomi är reversibel,SKA,security,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-033,Autonomi är reversibel,Ett nedgraderat workflow FÅR INTE automatiskt återfå tidigare authority utan ny verifiering.,2,"Vision, produktomfattning och utvecklingsväg",2.10 Autonomi är reversibel,FÅR INTE,authority,v1.0,Canonical Edition v1.0 — APPROVED
MI-02-034,Human authority before autonomy,Human authority before autonomy SKA vara en permanent governanceprincip.,2,"Vision, produktomfattning och utvecklingsväg",2.11 Human authority before autonomy,SKA,authority,v1.0,Canonical Edition v1.0 — APPROVED
